candidate_id	venue_name	possible_city	possible_neighborhood	possible_address	claimed_karaoke_day	claimed_karaoke_time	host_kj_name	source_url	source_type	evidence_snippet	confidence_score	confidence_level	review_status	scout_notes	duplicate_of	instagram_handle	facebook_url	venue_website	phone	email	premium_prospect
sd-scout-011	Double Deuce	San Diego	Gaslamp Quarter	528 F St, San Diego	Wednesday, Thursday, Friday, Saturday	Needs review	Erinn / Faith Belle		uploaded_sheet	Existing source data indicates karaoke across multiple nights. Verify exact nights, times, and whether karaoke is recurring.	90	high	needs_call	Potential premium prospect due Gaslamp nightlife location.					(619) 450-6522		true
sd-scout-012	BLVD	San Diego	Mission Valley	6628 Mission Gorge Rd, San Diego	Saturday	Needs review	DJ Glyph		uploaded_sheet	Existing source data indicates Saturday karaoke. Needs source confirmation and current venue status.	90	high	needs_call	Good call target. No public URL captured yet.					(619) 265-1182		true
sd-scout-013	Camels Bar & Grill	San Diego	Mission Valley	10330 Friars Rd, San Diego	Thursday, Saturday	Needs review	DJ Meth		uploaded_sheet	Existing source data indicates karaoke Thursday and Saturday. Verify current schedule and host.	90	high	needs_call	Potential basic listing or premium prospect after verification.					(619) 281-4345		true
sd-scout-014	Norm's Cocktails	La Mesa	East County	7403 El Cajon Blvd, La Mesa	Wednesday	7:30/8 PM-close	Trini / Starpoint Entertainment		uploaded_sheet	Existing source data indicates mid-week karaoke. Verify current recurrence and host.	88	high	needs_call	East County call target. Good for host/KJ lead mapping.							true
sd-scout-015	Redwing Bar & Grill	San Diego	North Park	4012 30th St, San Diego	Multiple nights	Needs review			uploaded_sheet	Existing source data indicates karaoke activity. Verify active schedule, day/time, and host.	86	high	needs_review	Likely important North Park listing. Needs current source confirmation.							true
sd-scout-016	U31	San Diego	North Park	3112 University Ave, San Diego	Needs review	Needs review			uploaded_sheet	Existing source data indicates karaoke or related events. Verify if recurring karaoke is active.	82	high	needs_review	North Park nightlife venue. Do not publish until confirmed.							false
sd-scout-017	The Hole in the Wall	San Diego	Point Loma	2820 Lytton St, San Diego	Needs review	Needs review			uploaded_sheet	Existing source data indicates possible karaoke activity. Needs direct confirmation.	80	high	needs_review	Useful lead, but evidence needs current source check.							false
sd-scout-018	The Ould Sod	San Diego	Normal Heights	3373 Adams Ave, San Diego	Needs review	Needs review			uploaded_sheet	Existing source data indicates karaoke nights at Irish pub. Verify current schedule.	60	medium	needs_review	Good Adams Ave lead. Needs source confirmation.		@theouldsod			(619) 284-6594		false
sd-scout-019	The Search Bar	Chula Vista	Eastlake	884 Eastlake Pkwy, Chula Vista	Wednesday	9 PM-close			uploaded_sheet	Existing source data indicates Wednesday karaoke at Eastlake sports bar. Verify current schedule.	82	high	needs_review	South Bay/Eastlake lead. Good candidate for call campaign.							false
sd-scout-020	Shooters Bar & Grill La Jolla	San Diego	La Jolla	La Jolla	Saturday, Sunday	Sat 6-10 PM / Sun 5:30-9:30 PM	Woo Karaoke		uploaded_sheet	Existing source data indicates Woo Karaoke weekend schedule. Verify address, venue status, and host.	76	high	needs_review	KJ/host lead present. Needs address cleanup.							false
sd-scout-021	Hearth House	San Diego	Needs review	Needs review	Tuesday	Needs review	Suzee		uploaded_sheet	Existing source data indicates Tuesday karaoke. Address missing, verify venue identity and current status.	65	medium	needs_call	Needs manual research before public listing.							false
sd-scout-022	Peter D's	San Diego	Needs review	Needs review	Thursday, Sunday	Needs review	Amy		uploaded_sheet	Existing source data indicates karaoke on Thursday and Sunday. Verify venue identity, address, and current schedule.	65	medium	needs_call	Needs manual research before public listing.							false
sd-scout-023	The Luau	San Diego	Needs review	Needs review	Thursday, Friday, Saturday	Needs review	DJ Smash / Spencer		uploaded_sheet	Existing source data indicates karaoke multiple nights. Verify venue identity, address, and schedule.	65	medium	needs_call	Good KJ lead, but venue details need cleanup.							false
sd-scout-024	Wong's Golden Palace	San Diego	Needs review	Needs review	Friday	Needs review	DJ Harvest		uploaded_sheet	Existing source data indicates Friday karaoke. Verify current status and schedule.	65	medium	needs_call	Needs manual research before public listing.							false
sd-scout-026	Flicks	San Diego	Hillcrest	1017 University Ave, San Diego	TBD	Needs review			uploaded_sheet	Existing source data indicates possible karaoke at LGBTQ+ bar. Verify schedule and recurrence.	60	medium	needs_review	Relevant Hillcrest lead. Needs confirmation.					(619) 297-2056		false
sd-scout-027	Navajo Live	San Diego	San Carlos / Navajo	8515 Navajo Rd, San Diego	TBD	Needs review			uploaded_sheet	Existing source data indicates live music venue with possible karaoke. Verify whether recurring karaoke is active.	60	medium	needs_review	Do not publish as karaoke until confirmed.					(619) 465-1730		false
sd-scout-028	De Oro Mine Co.	Spring Valley	Spring Valley	9924 Campo Rd, Spring Valley	TBD	Needs review			uploaded_sheet	Existing source data indicates karaoke or live entertainment. Schedule needs confirmation.	60	medium	needs_review	East County lead. Needs call.					(619) 463-9911		false
sd-scout-029	Shooters Cocktails	Spring Valley	Spring Valley	10761 Jamacha Blvd, Spring Valley	TBD	Needs review			uploaded_sheet	Existing source data indicates neighborhood karaoke lead. Verify schedule and recurrence.	60	medium	needs_review	East County lead. Needs call.					(619) 660-7037		false
sd-scout-030	Winstons Beach Club	San Diego	Ocean Beach	1921 Bacon St, San Diego	TBD	Needs review			uploaded_sheet	Existing source data indicates possible karaoke nights. Verify whether recurring karaoke is currently active.	60	medium	needs_review	OB venue lead. Do not publish as confirmed until verified.					(619) 222-6822		false
